price	open	high	low	change	date
3894.93	3922.57	3933.72	3868.96	-0.70%	29-04-2026
3922.46	3992.66	4007.04	3902.32	-1.75%	28-04-2026
3992.36	4016.13	4029.97	3982.25	-0.61%	27-04-2026
4016.75	4015.58	4037.72	3992.54	+0.04%	24-04-2026
4015.08	4048.56	4052.49	4013.33	-0.82%	23-04-2026
